PARKID,NAME,CITY,STATE,START,END,LEAGUE,AKA
WAS01,Olympic Grounds,Washington,DC,18710505,18750608,NA,
WAS02,National Grounds,Washington,DC,18720420,18720525,NA,
WAS03,Capitol Grounds,Washington,DC,18840418,18840925,UA,Union Association Park
WAS04,Athletic Park,Washington,DC,18840501,18840802,AA,
WAS05,Swampoodle Grounds,Washington,DC,18860429,18890921,NL,Capital Park Grounds
WAS06,Boundary Field,Washington,DC,18910413,18991014,,National Park; Beyer's Seventh Street Park
WAS07,American League Park I,Washington,DC,19010429,19030928,AL,National Park
WAS08,American League Park II,Washington,DC,19040414,19101006,AL,National Park
WAS09,Griffith Stadium,Washington,DC,19110412,19610921,AL,National Park; Clark Griffith Park
WAS10,Robert F. Kennedy Stadium,Washington,DC,19620409,20070923,,D.C. Stadium; RFK Stadium
WAS11,Nationals Park,Washington,DC,20080330,,NL,
WAT01,Troy Ball Club Grounds,Watervliet,NY,18820520,18820826,NL,West Troy Grounds
WAV01,Waverly Fairgrounds,Waverly,NJ,18730428,18730723,NA,Domestic Field; Waverly Park; Weequahic Park
WEE01,Monitor Grounds,Weehawken,NJ,18870911,18870911,AA,Monitor Park
WHE01,Island Grounds,Wheeling,WV,18900922,18900922,NL,Wheeling Grounds
WIL01,Union Street Park,Wilmington,DE,18840902,18840910,UA,Union Street Ball Grounds; Union Park; Wilmington Grounds; Quickstep Park
WNY01,West New York Field Club Grounds,West New York,NJ,18980911,18990917,NL,Weehawken Cricket Grounds
WOR01,Agricultural County Fair Grounds I,Worcester,MA,18800501,18820929,NL,Worcester Driving Park
WOR02,Agricultural County Fair Grounds II,Worcester,MA,18870817,18870817,NL,Worcester Driving Park
WOR03,Worcester Driving Park Grounds,Worcester,MA,18741030,18741030,NA,
